"Ref No.","Project Name","Country / Group of Countries","Categorization for website"
"1CIV","Côte d’Ivoire’s Regional Integration and Trade Support Programme ​​​​​","Ivory Coast","International Business Strategy"
"2DEV","Training Programme on ""Effective Design of Trade and Private Sector Development Support""","c(""Belgium"", ""Nicaragua"", ""Senegal"")","International Business Strategy"
"3MMR","Export Competitiveness Programme","Myanmar","International Business Strategy"
"4MMR","National Export Strategy of Myanmar","Myanmar","c(""International Business Strategy"", ""Policy and Negotiations"")"
"5SADC","Regional Economic Integration Support (REIS) Programme","Angola, Botswana, Congo, Lesotho, Madagascar, Malawi, Mauritius, Mozambique, Namibia, Seychelles, South Africa, Swaziland, Tanzania, Zambia, Zimbabwe","c(""E-Commerce and Digital Trade"", ""Policy and Negotiations"", ""International Business Strategy"")"
"6ZMB","Formulation of Operational Guidelines for the Technical Cooperation Facility (TCF) under the Regional Integration Support Programme","Zambia","Policy and Negotiations"
"7VNM","Impact Assessment of the EU-Vietnam FTA and Support the Business Community's Active Role in Trade Negotiations","Vietnam","Impact Assessment"
"8BWA","Development of an Action Plan for Capacity Building of the Trade Facilitation Advisory Group and the National Committee on Trade Policy and Negotiations (NCTPN)","Botswana","Policy and Negotiations"
"9RISM","Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM)","Burundi, Djibouti, Mauritius, Seychelles, Tanzania, Uganda, Zambia, Zimbabwe","Impact Assessment"
"10MUS","Mauritius National Export Strategy","Mauritius","c(""E-Commerce and Digital Trade"", ""International Business Strategy"", ""Policy and Negotiations"")"
"11MMR","Preparation of an Action Plan and Logframe for the implementation of an upcoming EU Trade Development Programme​","Myanmar","c(""International Business Strategy"", ""Policy and Negotiations"")"
"12CHN","Scoping mission for a Trade Related Assistance project to Mongolia","China, Mongolia","c(""Policy and Negotiations"", ""International Business Strategy"")"
"13ZMB","Support to Zambia Bureau of Standards in the field of Standardisation and Quality Management Systems","Zambia","c(""Policy and Negotiations"", ""International Business Strategy"")"
"14GRD","Grenada National Export Strategy Review and Strategic Options for Export Development ","Grenada","c(""International Business Strategy"", ""Impact Assessment"", ""Policy and Negotiations"")"
"15KEN","Enhancing Export Competitiveness of the Avocado sector in Kenya​","Kenya","c(""Impact Assessment"", ""International Business Strategy"")"
"16MNG","Preparation of ""Multilateral Trade Negotiations and LLDCS: A Handbook for Negotiators and Practitioners""","Mongolia","Policy and Negotiations"
"17BWA","Draft the National Quality Policy in Botswana, Strengthen its QI Institutions and Support Economic Operators/Exporters to comply with WTO/TBT Requirements","Botswana","c(""Policy and Negotiations"", ""International Business Strategy"")"
"18TZA","Supporting India’s Trade Preferences for Africa – Consultancy on Value Chain Roadmaps and sector strategy","Tanzania","International Business Strategy"
"19RWA","Consultancy Service to develop Rwanda’s Market Access Strategy and Implementation/Action Plan for Trade Sustainability with its Potential Markets","Rwanda","International Business Strategy"
"20BWA","Study of Trade Policy Framework for Botswana","Botswana","Policy and Negotiations"
"21TMEA","Independent Evaluation of TradeMark East Africa​ (TMEA)","c(""Kenya"", ""Rwanda"", ""Tanzania"", ""Uganda"")","Impact Assessment"
"22RWA","Horticulture Trade Enhancement and Certification in Rwanda ","Rwanda","International Business Strategy"
"23ESA","Study on the impact of the Interim Economic Partnership Agreement on the ESA signatory countries and the setting up of an EPA fund as a vehicle for financing the implementation of the iEPA Trade related, Fisheries and Development components","NULL","c(""Impact Assessment"", ""International Business Strategy"")"
"24PIGA","Partnership for Investment and Growth in Africa-PIGA","China, Ethiopia, Kenya, Zambia ","International Business Strategy"
"25MUS","Design of a National Export Strategy (NES) for Mauritius","Mauritius","c(""International Business Strategy"", ""Policy and Negotiations"")"
"26IOC","Study of the Impact of “Brexit” on the EU-ESA Trade and Investment Relations","c(""Comoros"", ""Reunion"", ""Madagascar"", ""Mauritius"", ""Seychelles"")","Impact Assessment"
"27AGRA","Preparation of the Concept Note for the African Green Revolution Forum","India, Kenya, Tanzania","International Business Strategy"
"28MUS","Policymakers Handbook on E-Commerce and Digital Trade for Least Developed Countries, Small States and Sub-Saharan Africa​","Mauritius","c(""E-Commerce and Digital Trade"", ""Policy and Negotiations"")"
"29KHM","Identification and Formulation of the Cambodian Envelope of Support to ASEAN","Cambodia","c(""International Business Strategy"", ""Policy and Negotiations"")"
"30SITA","Independent Evaluation of SITA Africa: Supporting Indian Trade and Investment for Africa","India, Switzerland, Ethiopia, Kenya, Uganda, Rwanda","c(""Impact Assessment"", ""International Business Strategy"")"
"31VNM","Impact assessment of the EU-Vietnam FTA","Vietnam","c(""Impact Assessment"", ""Policy and Negotiations"")"
"32MUS","Provision of Advisory Services to the Ministry of Finance and Economic Development","Mauritius","c(""Policy and Negotiations"", ""Impact Assessment"", ""International Business Strategy"")"
"33PIFS","Targeted Support to PIFS to build capacity for Mainstreaming Trade Policy Frameworks (TPFs) and overall Trade Agenda in the Pacific Region, and to Niue for the Implementation of its TPF","Fiji, Niue","c(""Policy and Negotiations"", ""International Business Strategy"")"
"34EAC","Targeted Support to the EAC for the Implementation of the Tripartite FTA Agreement-Trade Policy and Export Development to the EU Market ​","Burundi, Kenya, Rwanda, Tanzania, Uganda","c(""Policy and Negotiations"", ""International Business Strategy"")"
"35LKA","National Export Strategy of Sri Lanka","Sri Lanka","c(""Policy and Negotiations"", ""International Business Strategy"")"
"36MMR","Mid-term Evaluation of the Myanmar Trade Development Programme and Formulation of the Myanmar National C​omponent of ARISE Plus","Myanmar","c(""International Business Strategy"", ""Impact Assessment"")"
"37RWA","Targeted Support to Rwanda to Improve its E-Commerce Environment and Export Facilitation for SMEs ","Rwanda","c(""International Business Strategy"", ""E-Commerce and Digital Trade"", ""Policy and Negotiations"")"
"38UNESCAP","Handbook on Negotiating Sustainability Development Provisions in Free Trade Agreements","Thailand","Policy and Negotiations"
"39EU4B","Eastern Partnership: Ready to Trade - an EU4Business Initiative","Azerbaijan, Georgia","International Business Strategy"
"40SARTIP","Process Evaluation of the South Asia Regional Trade and Integration Programme - SARTIP","c(""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Kazakhstan"", ""Kyrgyz Republic"", ""Myanmar"", ""Nepal"", ""Pakistan"", ""Tajikistan"", ""Uzbekistan"")","Impact Assessment"
"41PIFS","Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade","Australia, Cook Islands, Federated States of Micronesia, Fiji, French Polynesia, Kiribati, Nauru, New Caledonia, New Zealand, Niue, Palau, Papua New Guinea, Republic of Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu","c(""Impact Assessment"", ""Policy and Negotiations"")"
"42UKR","Support the Development of Export Strategy for Ukraine","Ukraine","c(""International Business Strategy"", ""Policy and Negotiations"")"
"43MDG","E-Trade Readiness Assessment of Madagascar","Madagascar","E-Commerce and Digital Trade"
"44IDN","Sustainable Impact Assessment for an EU-Indonesia FTA","Indonesia","c(""Impact Assessment"", ""Policy and Negotiations"")"
